current_x,current_y,v_lineal,w_lineal
0.9890939809010848,0.9868864480535278,0.15,[0.0033121]
0.9925886463025366,0.9903905291398047,0.15,[0.00298855]
0.9960837600797326,0.9938955681355903,0.15,[0.00271995]
0.9996852652297051,0.997507761368186,0.15,[0.00249494]
1.0031811775925192,1.0010144071845772,0.15,[0.00231063]
1.0066769583701667,1.0045212296905555,0.15,[0.00213093]
1.0102782192314395,1.0081342158510098,0.15,[0.00193065]
1.0137725832728373,1.0116404858800097,0.15,[0.00169643]
1.017262265642507,1.015143293664215,0.15,[0.0012276]
1.020831034059481,1.0187273981052423,0.15,[-0.00073955]
1.0243046954770363,1.0222193200752274,0.15,[-0.00192291]
1.027794961176406,1.0257285291317222,0.15,[-0.00194317]
1.03139035953827,1.0293434668493047,0.15,[-0.0018909]
1.0348803705204905,1.032852337121963,0.15,[-0.00183643]
1.0383706468621452,1.0363613686447355,0.15,[-0.0017656]
1.041966875603724,1.0399767339295516,0.15,[-0.00166281]
1.0454570814647186,1.0434855953348028,0.15,[-0.00151655]
1.0489429238448855,1.0469900495857971,0.15,[-0.00104046]
1.0525092351930083,1.0505723639212843,0.15,[0.00129253]
1.055980177818276,1.0540539095719932,0.15,[0.00303371]
1.059474933130916,1.0575575919891436,0.15,[0.00298057]
1.063075353538224,1.0611675080258307,0.15,[0.00275317]
1.0665701985408582,1.0646720186116576,0.15,[0.00255075]
1.0700655252730913,1.0681773865093194,0.15,[0.00238307]
1.0736672683173967,1.071789815494166,0.15,[0.00223978]
1.0771633249828316,1.0752965091680606,0.15,[0.00211407]
1.0806591750178371,1.0788032490182193,0.15,[0.00198013]
1.0842604297822507,1.082416036484707,0.15,[0.0018194]
1.0877544780277653,1.0859219683038015,0.15,[0.0016135]
1.0912400505493343,1.089420563273576,0.15,[0.00101566]
1.0948045432748859,1.0930009647200911,0.15,[-0.00083903]
1.098286805061803,1.0965016305821698,0.15,[-0.00140339]
1.1017761348692345,1.10000971573001,0.15,[-0.00146596]
1.105371564183855,1.103624540398401,0.15,[-0.00147649]
1.1088615609797745,1.107133383221295,0.15,[-0.00147372]
1.1123517634774835,1.1106424171092542,0.15,[-0.00144714]
1.11594783547841,1.1142577641347,0.15,[-0.00138578]
1.119437494660985,1.1177664709085253,0.15,[-0.00126839]
1.122918270028779,1.1212657892160396,0.15,[-0.00059585]
1.126480928520046,1.1248434625035157,0.15,[0.00156686]
1.1299616457304191,1.128334256898065,0.15,[0.00244636]
1.1334560274028351,1.1318381125576136,0.15,[0.00229852]
1.1370563735514974,1.1354485809647914,0.15,[0.00216725]
1.1405512948891587,1.1389536179137068,0.15,[0.00206268]
1.1440467364681655,1.1424594104412829,0.15,[0.00197674]
1.147648636202821,1.1460721746623657,0.15,[0.00191004]
1.1511447385526086,1.1495789711695037,0.15,[0.00183675]
1.154640583245715,1.153085693476029,0.15,[0.00174766]
1.15824174706091,1.156698315798052,0.15,[0.00162861]
1.1617351515514973,1.1602037020859657,0.15,[0.00144868]
1.1652140390643424,1.1636957514385697,0.15,[0.00069982]
1.168779298308508,1.1672776260387565,0.15,[-0.00076088]
1.1722670692541193,1.1707837382135626,0.15,[-0.00098506]
1.1757566589224875,1.1742919099695908,0.15,[-0.00103865]
1.1793521485984284,1.1779066752107579,0.15,[-0.00108336]
1.1828421286025967,1.1814154906239984,0.15,[-0.00111166]
1.186332249201007,1.184924501028478,0.15,[-0.00111494]
1.1899280969916382,1.188539861433369,0.15,[-0.00108514]
1.193416839504869,1.1920479681997727,0.15,[-0.00097711]
1.1968900454624845,1.1955392731226815,0.15,[-9.37118628e-05]
1.2004540850166094,1.1991173523227314,0.15,[0.00158043]
1.2039426214463378,1.202615899931715,0.15,[0.00190162]
1.2074368762548895,1.20611996314785,[0.14860117],[0.00185833]
1.2110373928292955,1.2097307763255571,[0.14671447],[0.00179666]
1.2145001793332566,1.213203625786324,[0.14489991],[0.0017468]
1.2179201013579701,1.2166336076540367,[0.14310777],[0.00171097]
1.2214005691447332,1.2201244040213144,[0.14128388],[0.00168164]
1.2247370641195878,1.223470858085895,[0.13953543],[0.00164883]
1.228030885742291,1.2267746034326366,[0.13780931],[0.0016021]
1.2313820107427094,1.2301359982705051,[0.13605312],[0.00153425]
1.2345880214484173,1.2333524350629306,[0.13437283],[0.0012677]
1.237765897287297,1.2365413306745383,[0.13270708],[0.00141633]
1.2409862455478298,1.239772321935201,[0.13101923],[0.00114463]
1.2440775212276658,1.2428745372407712,[0.12939883],[0.00101901]
1.247128888855025,1.2459370818975564,[0.12779925],[0.00088204]
1.2502326733166513,1.2490527780477294,[0.12617206],[0.00071072]
1.2532081059656583,1.252040129084908,[0.12461202],[0.00055524]
1.2561457284992235,1.2549900069067048,[0.12307167],[0.00041775]
1.2591348231700097,1.2579920180642337,[0.12150422],[0.00030078]
1.2619997560127392,1.260869650199544,[0.12000179],[0.00022436]
1.2648278531751946,1.2637106652079941,[0.11851858],[0.00017636]
1.2676984043445971,1.2665950120918648,[0.11701292],[0.00039751]
1.270431615296714,1.269339304276322,[0.11557981],[0.00130623]
1.2731396371255808,1.2720553835410942,[0.11416067],[0.00191206]
1.2759140336093002,1.2748369716504118,[0.11270706],[0.00186681]
1.2785735420436841,1.2775035360708769,[0.11131361],[0.0018071]
1.2811993092902785,1.2801364291998645,[0.10993779],[0.00175902]
1.2838715015189814,1.282816017039381,[0.10853761],[0.0017182]
